================================================================================
Channel Pruning Log
  iteration  : 32
  alpha      : 0.5000
  timestamp  : 2026-07-12 20:17:31
  remove_target  : 20213
  accum_removed  : 20397
  selected_channels : 69
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2192320
  active_after   : 1201165
  model_sparsity : 45.2%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       22    68.8%
  features.2                 96          0       92    95.8%
  features.3                144          0       53    36.8%
  features.4                144          0       27    18.8%
  features.5                192          0       36    18.8%
  features.6                192          0       85    44.3%
  features.7                192          0       34    17.7%
  features.8                384          0       27     7.0%
  features.9                384          0      356    92.7%
  features.10               384          0      372    96.9%
  features.11               384          0      355    92.4%
  features.12               576          2      389    67.5%
  features.13               576         16      343    59.5%
  features.14               576          0      541    93.9%
  features.15               960         27      591    61.6%
  features.16               960         24      466    48.5%
  features.17               960          0      342    35.6%

[ 레이어별 보호 영역 (γ=0.01) ]
  layer                  active  protected  protect_%
  --------------------------------------------------
  features.1                 10          1      10.0%
  features.2                  4          1      25.0%
  features.3                 91          1       1.1%
  features.4                117          1       0.9%
  features.5                156          1       0.6%
  features.6                107          1       0.9%
  features.7                158          1       0.6%
  features.8                357          2       0.6%
  features.9                 28          1       3.6%
  features.10                12          1       8.3%
  features.11                29          1       3.4%
  features.12               189          1       0.5%
  features.13               249          2       0.8%
  features.14                35          1       2.9%
  features.15               396          2       0.5%
  features.16               518          3       0.6%
  features.17               618          4       0.6%

[ 블록별 제거 채널 수 ]
  features.12: 2채널 제거
  features.13: 16채널 제거
  features.15: 27채널 제거
  features.16: 24채널 제거

[ 선택된 채널 상세 ]
block                             ch        score          phi         perf  weights
--------------------------------------------------------------------------------
features.15                      140    -0.378703 1.019308e-05 2.400699e-06      329
features.15                      893    -0.372522 1.011853e-05 1.029553e-05      329
features.15                      598    -0.342211 9.239608e-06 4.652225e-06      329
features.15                      151    -0.341752 9.189685e-06 1.402915e-06      329
